closure_id,date_key,date,start_date,end_date,entity_type,entity_name,closure_type,road_name
1,20200101,01-01-2020,01-01-2020,15-11-2020,road,S Pinckney St,Full,S Pinckney St
2,20200302,02-03-2020,02-03-2020,02-10-2020,road,,Partial,
3,20200330,30-03-2020,30-03-2020,10-07-2020,road,Elizabeth St,Full,Elizabeth St
4,20200330,30-03-2020,30-03-2020,10-07-2020,road,N Ingersoll St,Full,N Ingersoll St
5,20200408,08-04-2020,08-04-2020,09-07-2020,road,Martin Luther King Jr Blvd,Partial,Martin Luther King Jr Blvd
6,20200420,20-04-2020,20-04-2020,13-11-2020,road,Gammon Rd,Partial,Gammon Rd
7,20200420,20-04-2020,20-04-2020,24-04-2020,road,Schroeder Rd,Full,Schroeder Rd
8,20200420,20-04-2020,20-04-2020,01-06-2020,road,W Dayton St,Full,W Dayton St
9,20200420,20-04-2020,20-04-2020,22-05-2020,road,Woods Rd,Full,Woods Rd
10,20200424,24-04-2020,24-04-2020,07-06-2020,road,McKenna Blvd,Partial,McKenna Blvd
11,20200427,27-04-2020,27-04-2020,02-10-2020,road,Copeland St,Full,Copeland St
12,20200427,27-04-2020,27-04-2020,02-10-2020,road,Cross St,Full,Cross St
13,20200427,27-04-2020,27-04-2020,02-10-2020,road,Gregory St,Full,Gregory St
14,20200427,27-04-2020,27-04-2020,02-10-2020,road,Western Ave,Full,Western Ave
15,20200501,01-05-2020,01-05-2020,15-05-2020,road,Buckeye Rd,Full,Buckeye Rd
16,20200501,01-05-2020,01-05-2020,10-07-2020,road,Packers Ave,Partial,Packers Ave
17,20200513,13-05-2020,13-05-2020,16-05-2020,road,E Mifflin St,Full,E Mifflin St
18,20200611,11-06-2020,11-06-2020,15-08-2020,road,Shroeder Rd,Full,Shroeder Rd
19,20200611,11-06-2020,11-06-2020,15-08-2020,road,Struck St,Full,Struck St
20,20200615,15-06-2020,15-06-2020,04-09-2020,road,Anderson St,Partial,Anderson St
