facility_id,facility_name,lot_number,has_visitor_parking,campus_region,street_address,zip_code
2,Olin House,None,None,None,130 N Prospect Ave,53726-4073
4,Olin House Garage,None,None,None,130 N Prospect Ave,53726-4073
6,Pyle Center,None,None,None,702 Langdon St,53706-1420
7,Lincoln Statue,None,None,None,Bascom Mall,53715-0000
8,Memorial Union,None,None,None,800 Langdon St,53706-1419
10,Tong Family Marina,None,None,None,800 Langdon St,53706-1419
11,Vet Medicine Building-Charmany,None,None,None,5801 Mineral Point Rd,53719-4466
13,Hagenah Fountain,None,None,None,Library Mall,53703-0000
15,Memorial Library,None,None,None,728 State St,53706-1418
16,"Historical Society, State",None,None,None,816 State St,53703-1417
17,Vet Medicine-Charmany-Service Building,None,None,None,5901 Mineral Point Rd,53719-4467
18,"White Hall, Helen C",None,None,None,600 N Park St,53706-1403
19,Civil War Guard House,None,None,None,Camp Randall Memorial Park,53715-0000
20,Armory & Gymnasium,None,None,None,716 Langdon St,53706-1400
21,McClain Athletic Facility,None,None,None,1475 Engineering Dr,53706-1607
22,Camp Randall Stadium,None,None,None,1440 Monroe St,53711-2051
23,Athletic Ticket Shelter-Portable,None,None,None,For Business Services Purposes,00000-0000
24,Camp Randall Memorial Arch,None,None,None,200 N Randall Ave,53715-1544
25,Camp Randall Sports Center (Inactive),None,None,None,1430 Monroe St,53711-2501
26,Nicholas Recreation Center,None,None,None,797 W Dayton St,53715-1122
27,University Bay Recreation Fields Building,None,None,None,1301 University Bay Dr,53706-0000
29,Field House,None,None,None,1450 Monroe St,53711-2051
32,Lathrop Hall,None,None,None,1050 University Ave,53706-1304
33,"Bock Laboratories, Robert M",None,None,None,1525 Linden Dr,53706-1534
34,Rennebohm Hall,None,None,None,777 Highland Ave,53705-2222
35,Meiklejohn House,None,None,None,228 N Charter St,53715-2366
36,Forest Products Laboratory,None,None,None,One Gifford Pinchot Dr,53705-2398
37,Park-Langdon Information Kiosk,None,None,None,800 Langdon St,53706-1419
38,Nielsen Tennis Stadium,None,None,None,1000 Highland Ave,53705-2272
39,WARF Office Building,None,None,None,610 Walnut St,53726-2336
40,"McClimon Memorial Track, Dan",None,None,None,702 Walnut St,53726-0000
41,McClimon Track Restrooms & Storage,None,None,None,702 Walnut St,53726-0000
43,McClimon Memorial Track Press Box,None,None,None,702 Walnut St,53726-0000
44,"Cooper Hall, Signe Skott",None,None,None,701 Highland Ave,53705-2202
45,Biotron Laboratory,None,None,None,2115 Observatory Dr,53726-1012
46,"Social Science Bldg, Sewell, William H",None,None,None,1180 Observatory Dr,53706-1320
