sport_id,date_key,date,sport,event_name,stadium
1,20201201,01-12-2020,Men's Basketball,vs Green Bay,"Madison, WI Kohl Center"
2,20201211,11-12-2020,Women's Basketball,vs Rutgers,"Madison, Wis. Kohl Center"
3,20201213,13-12-2020,Women's Basketball,vs North Dakota,"Madison, Wis. Kohl Center"
4,20201215,15-12-2020,Men's Basketball,vs Loyola,Kohl Center
5,20201219,19-12-2020,Men's Basketball,vs #23 Louisville,"Madison, WI Kohl Center"
6,20201220,20-12-2020,Women's Basketball,vs Valparaiso,"Madison, Wis. Kohl Center"
7,20201222,22-12-2020,Men's Basketball,vs Nebraska,"Madison, WI Kohl Center"
8,20201222,22-12-2020,Women's Basketball,vs Nebraska at Omaha,"Madison, Wis. Kohl Center"
9,20201225,25-12-2020,Men's Basketball,at #12 Michigan State,"East Lansing, MI"
10,20201228,28-12-2020,Men's Basketball,vs Maryland,"Madison, WI Kohl Center"
11,20201231,31-12-2020,Men's Basketball,vs #21 Minnesota,"Madison, WI Kohl Center"
12,20201231,31-12-2020,Women's Basketball,at #16 Michigan,"Ann Arbor, MI"
13,20201204,04-12-2020,Men's Basketball,at Marquette,"Milwaukee, WI"
14,20201205,05-12-2020,Women's Basketball,at Iowa,"Iowa City, IA"
15,20201208,08-12-2020,Women's Basketball,vs Prairie View A&M,"Madison, Wis. Kohl Center"
16,20201209,09-12-2020,Men's Basketball,vs Rhode Island,Kohl Center
17,20201125,25-11-2020,Men's Basketball,vs Eastern Illinois,"Madison, WI Kohl Center"
18,20201125,25-11-2020,Women's Basketball,vs Miami (OH),"Madison, Wis. Kohl Center"
19,20201127,27-11-2020,Men's Basketball,vs Arkansas - Pine Bluff,"Madison, WI Kohl Center"
20,20201129,29-11-2020,Women's Basketball,vs Western Illinois,"Madison, Wis. Kohl Center"
21,20201212,12-12-2020,Men's Football,at Iowa,"Iowa City, IA"
22,20201219,19-12-2020,Men's Football,Minnesota,"Madison, WI Camp Randall Stadium"
23,20201230,30-12-2020,Men's Football,vs Wake Forest,"Charlotte, N.C."
24,20201205,05-12-2020,Men's Football,vs Indiana,"Madison, WI Camp Randall Stadium"
25,20201114,14-11-2020,Men's Football,at Michigan,"Ann Arbor, MI"
26,20201121,21-11-2020,Men's Football,at Northwestern,"Evanston, IL"
27,20201128,28-11-2020,Men's Football,vs Minnesota,"Madison, WI Camp Randall Stadium"
28,20201107,07-11-2020,Men's Football,vs Purdue,"Madison, WI Camp Randall Stadium"
29,20201023,23-10-2020,Men's Football,vs Illinois,"Madison, WI Camp Randall Stadium"
30,20201031,31-10-2020,Men's Football,at Nebraska,"Lincoln, NE"
31,20201211,11-12-2020,Women's Ice Hockey,vs Minnesota Duluth,"Madison, WI La Bahn Arena"
32,20201212,12-12-2020,Women's Ice Hockey,vs Minnesota Duluth,"Madison, WI La Bahn Arena"
33,20201218,18-12-2020,Women's Ice Hockey,vs Ohio State,"Madison, WI La Bahn Arena"
34,20201219,19-12-2020,Women's Ice Hockey,vs Ohio State,"Madison, WI La Bahn Arena"
35,20201203,03-12-2020,Men's Ice Hockey,at Ohio State,"Columbus, OH"
36,20201204,04-12-2020,Men's Ice Hockey,at Ohio State,"Columbus, OH"
37,20201204,04-12-2020,Women's Ice Hockey,at Minnesota,"Minneapolis, MN"
38,20201205,05-12-2020,Women's Ice Hockey,at Minnesota,"Minneapolis, MN"
