date_key,date,tmin,tmax,tavg,prcp,snow
20200101,01-01-2020,-8.8,4.4,-2.2,0,5
20200102,02-01-2020,2.2,7.2,4.7,0,5
20200103,03-01-2020,-0.5,2.2,0.85,0,0
20200104,04-01-2020,-4.9,-0.5,-2.7,0,0
20200105,05-01-2020,-4.9,4.4,-0.25,0,0
20200106,06-01-2020,-3.8,6.1,1.15,0,0
20200107,07-01-2020,-6,3.3,-1.35,0,0
20200108,08-01-2020,-14.3,-6,-10.15,0,0
20200109,09-01-2020,-7.1,9.4,1.15,0.3,0
20200110,10-01-2020,-2.1,4.4,1.15,11.9,0
20200111,11-01-2020,-7.7,-1,-4.35,1.3,5
20200112,12-01-2020,-10.5,-3.2,-6.85,4.3,5
20200113,13-01-2020,-3.2,-1,-2.1,0.5,10
20200114,14-01-2020,-2.1,2.2,0.05,0,8
20200115,15-01-2020,-7.1,0,-3.55,0.5,5
20200116,16-01-2020,-16,-4.3,-10.15,0,5
20200117,17-01-2020,-17.1,-2.1,-9.6,7.4,5
20200118,18-01-2020,-16,0,-8,3.8,15
20200119,19-01-2020,-17.7,-6,-11.85,0,15
20200120,20-01-2020,-15.5,-3.8,-9.65,0,13
20200121,21-01-2020,-17.1,-4.9,-11,0,13
20200122,22-01-2020,-6,-0.5,-3.25,0.5,13
20200123,23-01-2020,-2.1,0,-1.05,2,15
20200124,24-01-2020,0,1.1,0.55,6.4,18
20200125,25-01-2020,0,2.2,1.1,5.1,23
20200126,26-01-2020,-2.7,0.6,-1.05,0,18
20200127,27-01-2020,-3.2,0.6,-1.3,0,18
20200128,28-01-2020,-4.3,-0.5,-2.4,0,18
20200129,29-01-2020,-4.9,-3.2,-4.05,0,15
20200130,30-01-2020,-4.3,-1,-2.65,0,15
20200131,31-01-2020,-2.7,0.6,-1.05,0.3,15
20200201,01-02-2020,0,3.3,1.65,0,15
20200202,02-02-2020,-1,10.6,4.8,0,15
20200203,03-02-2020,-4.3,3.9,-0.2,0,13
20200204,04-02-2020,-6.6,0.6,-3,0,13
20200205,05-02-2020,-9.9,-3.2,-6.55,0,13
20200206,06-02-2020,-9.9,0.6,-4.65,0,13
20200207,07-02-2020,-11,1.1,-4.95,0,13
20200208,08-02-2020,-8.2,-1,-4.6,0,13
20200209,09-02-2020,-8.8,0,-4.4,9.4,15
20200210,10-02-2020,-15.5,-0.5,-8,0,25
20200211,11-02-2020,-8.2,-1,-4.6,0,23
20200212,12-02-2020,-12.1,1.7,-5.2,2,23
20200213,13-02-2020,-20.5,-3.2,-11.85,0.8,23
20200214,14-02-2020,-23.8,-11.6,-17.7,0,20
20200215,15-02-2020,-14.9,0.6,-7.15,0,20
20200216,16-02-2020,-11.6,1.1,-5.25,0,20
20200217,17-02-2020,-4.9,1.1,-1.9,11.7,20
20200218,18-02-2020,-9.3,0.6,-4.35,0,33
20200219,19-02-2020,-16.6,-6.6,-11.6,0,30
20200220,20-02-2020,-22.1,-8.2,-15.15,0,28
20200221,21-02-2020,-15.5,1.1,-7.2,0,28
20200222,22-02-2020,-4.9,4.4,-0.25,0,25
20200223,23-02-2020,-0.5,9.4,4.45,0,25
20200224,24-02-2020,-5.5,3.3,-1.1,0,20
20200225,25-02-2020,-2.7,1.1,-0.8,0,20
20200226,26-02-2020,-4.9,-2.1,-3.5,0,20
20200227,27-02-2020,-9.9,-2.7,-6.3,0,20
20200228,28-02-2020,-10.5,-2.7,-6.6,0,20
20200229,29-02-2020,-12.7,0.6,-6.05,0,18
20200301,01-03-2020,-2.7,11.1,4.2,0,18
20200302,02-03-2020,-2.1,5.6,1.75,0,15
20200303,03-03-2020,-1,6.7,2.85,1.5,13
20200304,04-03-2020,-0.5,6.1,2.8,0,13
20200305,05-03-2020,-1,7.8,3.4,0,10
20200306,06-03-2020,-2.7,4.4,0.85,0,8
20200307,07-03-2020,-3.8,10,3.1,0,8
